names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country,year,primary_genre,Rank,movie_name,worldwide_gross,domestic_gross,Domestic %,foreign_gross,Foreign %,Year,Genres,Rating,Vote_Count,Original_Language,Production_Countries
Creed III,2023-03-02,73.0,"Drama, Action","After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damien Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.","Michael B. Jordan, Adonis Creed, Tessa Thompson, Bianca Taylor, Jonathan Majors, Damien Anderson, Wood Harris, Tony 'Little Duke' Evers, Phylicia Rashād, Mary Anne Creed, Mila Davis-Kent, Amara Creed, Florian Munteanu, Viktor Drago, José Benavidez Jr., Felix Chavez, Selenis Leyva, Laura Chavez",Creed III, Released, English,75000000.0,271616668.0,AU,2023,Drama,26,Creed III,276148615.0,156248615.0,56.6,119900000.0,43.4,2023,"Drama, Action",7.118/10,2534.0,en,United States of America
Avatar: The Way of Water,2022-12-15,78.0,"Science Fiction, Adventure, Action","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.","Sam Worthington, Jake Sully, Zoe Saldaña, Neytiri, Sigourney Weaver, Kiri / Dr. Grace Augustine, Stephen Lang, Colonel Miles Quaritch, Kate Winslet, Ronal, Cliff Curtis, Tonowari, Joel David Moore, Norm Spellman, CCH Pounder, Mo'at, Edie Falco, General Frances Ardmore",Avatar: The Way of Water, Released, English,460000000.0,2316794914.0,AU,2022,Science Fiction,1,Avatar: The Way of Water,2320250281.0,684075767.0,29.5,1636174514.0,70.5,2022,"Science Fiction, Adventure, Action",7.616/10,12052.0,en,United States of America
The Super Mario Bros. Movie,2023-04-05,76.0,"Animation, Adventure, Family, Fantasy, Comedy","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","Chris Pratt, Mario (voice), Anya Taylor-Joy, Princess Peach (voice), Charlie Day, Luigi (voice), Jack Black, Bowser (voice), Keegan-Michael Key, Toad (voice), Seth Rogen, Donkey Kong (voice), Fred Armisen, Cranky Kong (voice), Kevin Michael Richardson, Kamek (voice), Sebastian Maniscalco, Spike (voice)",The Super Mario Bros. Movie, Released, English,100000000.0,724459031.0,AU,2023,Animation,2,The Super Mario Bros. Movie,1360847665.0,574934330.0,42.2,785913335.0,57.8,2023,"Animation, Family, Adventure, Fantasy, Comedy",7.6/10,9266.0,en,"Japan, United States of America"
Mummies,2023-01-05,70.0,"Animation, Comedy, Family, Adventure, Fantasy","Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.","Óscar Barberán, Thut (voice), Ana Esther Alborg, Nefer (voice), Luis Pérez Reina, Carnaby (voice), María Luisa Solá, Madre (voice), Jaume Solà, Sekhem (voice), José Luis Mediavilla, Ed (voice), José Javier Serrano Rodríguez, Danny (voice), Aleix Estadella, Dennis (voice), María Moscardó, Usi (voice)", Momias, Released," Spanish, Castilian",12300000.0,34200000.0,AU,2023,Animation,76,Mummies,54475970.0,4275970.0,7.8,50200000.0,92.2,2023,"Animation, Adventure, Fantasy",7.0/10,458.0,es,Spain
Cocaine Bear,2023-02-23,66.0,"Thriller, Comedy, Crime","Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.","Keri Russell, Sari, Alden Ehrenreich, Eddie, O'Shea Jackson Jr., Daveed, Ray Liotta, Syd, Kristofer Hivju, Olaf (Kristoffer), Margo Martindale, Ranger Liz, Christian Convery, Henry, Isiah Whitlock Jr., Bob, Jesse Tyler Ferguson, Peter",Cocaine Bear, Released, English,35000000.0,80000000.0,AU,2023,Thriller,61,Cocaine Bear,88314672.0,64670240.0,73.2,23644432.0,26.8,2023,"Thriller, Comedy, Crime",6.039/10,2059.0,en,United States of America
John Wick: Chapter 4,2023-03-23,80.0,"Action, Thriller, Crime","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Keanu Reeves, John Wick, Donnie Yen, Caine, Bill Skarsgård, Marquis de Gramont, Ian McShane, Winston, Laurence Fishburne, Bowery King, Lance Reddick, Charon, Clancy Brown, The Harbinger, Hiroyuki Sanada, Shimazu, Shamier Anderson, Mr Nobody",John Wick: Chapter 4, Released, English,100000000.0,351349364.0,AU,2023,Action,17,John Wick: Chapter 4,440180275.0,187131806.0,42.5,253048469.0,57.5,2023,"Action, Thriller, Crime",7.727/10,6651.0,en,"Germany, United States of America"
Puss in Boots: The Last Wish,2022-12-26,83.0,"Animation, Family, Fantasy, Adventure, Comedy","Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.","Antonio Banderas, Puss in Boots (voice), Salma Hayek, Kitty Softpaws (voice), Harvey Guillén, Perrito (voice), Wagner Moura, Wolf (voice), Florence Pugh, Goldilocks (voice), Olivia Colman, Mama Bear (voice), Ray Winstone, Papa Bear (voice), Samson Kayo, Baby Bear (voice), John Mulaney, Jack Horner (voice)",Puss in Boots: The Last Wish, Released, English,90000000.0,483480577.0,AU,2022,Animation,10,Puss in Boots: The Last Wish,481757663.0,186090535.0,38.6,295667128.0,61.4,2022,"Animation, Adventure, Fantasy, Comedy, Family",8.22/10,7868.0,en,United States of America
Black Panther: Wakanda Forever,2022-11-10,73.0,"Action, Adventure, Science Fiction","Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.","Letitia Wright, Shuri / Black Panther, Lupita Nyong'o, Nakia, Danai Gurira, Okoye, Winston Duke, M'Baku, Dominique Thorne, Riri Williams / Ironheart, Tenoch Huerta Mejía, Namor, Angela Bassett, Ramonda, Florence Kasumba, Ayo, Michaela Coel, Aneka",Black Panther: Wakanda Forever, Released, English,250000000.0,854041058.0,AU,2022,Action,6,Black Panther: Wakanda Forever,859208836.0,453829060.0,52.8,405379776.0,47.2,2022,"Action, Adventure, Science Fiction",7.087/10,6562.0,en,United States of America
The Pope's Exorcist,2023-04-06,72.0,"Horror, Mystery","Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.","Russell Crowe, Father Gabriele Amorth, Daniel Zovatto, Father Esquibel, Alex Essoe, Julia, Franco Nero, The Pope, Laurel Marsden, Amy, Cornell John, Bishop Lumumba, Ralph Ineson, Demon (voice), River Hawkins, Enzo, Pablo Raybould, Bishop Barbuto",The Pope's Exorcist, Released, English,92000000.0,462216471.8,AU,2023,Horror,64,The Pope's Exorcist,76987621.0,20009380.0,26.0,56978241.0,74.0,2023,"Horror, Thriller",6.973/10,2748.0,en,United States of America
Knock at the Cabin,2023-02-02,64.0,"Thriller, Mystery, Horror, Fantasy","While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.","Dave Bautista, Leonard, Jonathan Groff, Eric, Ben Aldridge, Andrew, Kristen Cui, Wen, Nikki Amuka-Bird, Sabrina, Rupert Grint, Redmond, Abby Quinn, Adriane, Clare Louise Frost, Infomercial Co-Host, McKenna Kerrigan, Andrew's Mom",Knock at the Cabin, Released, English,20000000.0,54629497.0,AU,2023,Thriller,75,Knock at the Cabin,54760947.0,35397980.0,64.6,19362967.0,35.4,2023,"Thriller, Mystery, Horror",6.3/10,2670.0,en,United States of America
